Category,N1,N2,N3,N4,N5,Total,Location
Applicants,"47,043","57,199","63,957","41,566","4,111","213,876",Japan
Examinees※,"41,484","52,189","60,570","39,237","3,664","197,144",Japan
Certified,"13,349","18,267","25,683","17,993","2,419","77,711",Japan
Percentage Certified(%),32.2%,35.0%,42.4%,45.9%,66.0%,39.4%,Japan
Applicants,"94,349","109,149","92,816","127,184","60,688","484,186",Overseas
Examinees※,"78,923","92,523","75,667","109,173","48,710","404,996",Overseas
Certified,"27,626","42,603","33,796","45,191","24,103","173,319",Overseas
Percentage Certified(%),35.0%,46.0%,44.7%,41.4%,49.5%,42.8%,Overseas
Applicants,"141,392","166,348","156,773","168,750","64,799","698,062",Japan & Overseas
Examinees※,"120,407","144,712","136,237","148,410","52,374","602,140",Japan & Overseas
Certified,"40,975","60,870","59,479","63,184","26,522","251,030",Japan & Overseas
Percentage Certified(%),34.0%,42.1%,43.7%,42.6%,50.6%,41.7%,Japan & Overseas
